kepid,kepoi_name,kepler_name,koi_disposition,adopted_Teff,Prot,adopted_rp,adopted_period,flag_dr3_ruwe_outlier,flag_koi_is_grazing,flag_gyro_quality,flag_planet_quality,has_hires,t_gyro,t_li,Li_EW,comment,are_gyro_and_li_consistent
3734418,K02261.01,Kepler-1164 b,CONFIRMED,5056,11.21,1.08,3.98,0,0,0,0,1,$1024^{+105}_{-140}$,$> 233$,$31\pm8$,,Yes
6975129,K01628.02,Kepler-312 b,CONFIRMED,6325,5.64,1.52,1.77,0,0,7,0,1,--,$1028^{+1830}_{-723}$,$71\pm5$,,--
6975129,K01628.01,Kepler-312 c,CONFIRMED,6325,5.64,3.73,19.75,0,0,7,0,1,--,$1028^{+1830}_{-723}$,$71\pm5$,,--
6697605,K02851.01,Kepler-1985 b,CONFIRMED,5370,11.29,2.27,3.42,0,1,0,4,0,$1032^{+79}_{-80}$,--,--,,--
9763612,K03465.01,Kepler-1507 b,CONFIRMED,5224,11.21,0.78,16.05,0,0,0,0,1,$1033^{+85}_{-90}$,$> 641$,$1\pm7$,,Yes
4173026,K02172.01,Kepler-1801 b,CONFIRMED,5420,11.53,2.90,10.44,0,1,0,4,0,$1069^{+81}_{-80}$,--,--,,--
4173026,K02172.02,Kepler-1801 c,CONFIRMED,5420,11.53,2.47,116.58,0,0,0,0,0,$1069^{+81}_{-80}$,--,--,,--
6041734,K02167.01,Kepler-1129 b,CONFIRMED,5742,10.66,3.34,24.34,0,1,2112,4,1,$1081^{+236}_{-134}$,$> 418$,$32\pm8$,,Yes
6041734,K02167.03,Kepler-1129 c,CONFIRMED,5742,10.66,2.45,76.54,0,0,2112,0,1,$1081^{+236}_{-134}$,$> 418$,$32\pm8$,,Yes
8884274,K02868.01,Kepler-1374 b,CONFIRMED,5282,11.59,2.14,10.65,0,0,0,0,0,$1088^{+81}_{-83}$,--,--,,--
7427764,K04364.01,Kepler-1595 b,CONFIRMED,5200,11.53,1.15,4.56,0,0,0,0,0,$1088^{+84}_{-89}$,--,--,,--
5088400,K04127.01,Kepler-1556 b,CONFIRMED,5424,11.85,1.67,8.83,0,0,0,0,0,$1117^{+81}_{-80}$,--,--,,--
8750043,K02017.01,Kepler-1055 b,CONFIRMED,5538,11.77,1.15,2.30,0,0,0,0,1,$1119^{+92}_{-85}$,$> 656$,$17\pm5$,,Yes
11410904,K02171.01,Kepler-1131 b,CONFIRMED,5728,11.06,1.47,3.53,0,0,0,0,0,$1136^{+226}_{-133}$,--,--,,--
10153855,K01981.01,Kepler-1037 b,CONFIRMED,5050,11.77,1.27,1.06,0,0,0,0,0,$1144^{+87}_{-99}$,--,--,,--
4725681,K00817.02,Kepler-236 b,CONFIRMED,3937,15.32,1.76,8.30,0,1,0,4,1,$1158^{+411}_{-456}$,$> 84$,$17\pm16$,,Yes
4725681,K00817.01,Kepler-236 c,CONFIRMED,3937,15.32,2.08,23.97,0,0,0,0,1,$1158^{+411}_{-456}$,$> 84$,$17\pm16$,,Yes
5184911,K02719.01,Kepler-1324 b,CONFIRMED,4601,12.53,1.40,4.12,0,1,0,4,1,$1166^{+152}_{-307}$,$> 180$,$16\pm15$,,Yes
6305192,K00219.01,Kepler-494 b,CONFIRMED,5958,9.04,7.79,8.03,1,0,2694,0,1,$1422^{+1130}_{-589}$,$1177^{+1618}_{-719}$,$72\pm5$,,Yes
5794240,K00254.01,Kepler-45 b,CONFIRMED,3896,15.64,11.49,2.46,0,0,0,0,1,$1178^{+423}_{-461}$,$> 76$,$18\pm30$,,Yes
5953297,K02733.01,Kepler-1688 b,CONFIRMED,4762,12.27,1.45,5.62,1,1,640,4,1,$1190^{+117}_{-235}$,$> 228$,$15\pm10$,,Yes
5812960,K00507.01,Kepler-582 b,CONFIRMED,5242,12.27,2.99,18.49,0,0,0,0,0,$1197^{+79}_{-81}$,--,--,,--
8229458,K02238.01,Kepler-1152 b,CONFIRMED,4029,14.79,1.03,1.65,0,0,0,0,1,$1198^{+358}_{-479}$,$> 95$,$13\pm21$,,Yes
