kepid,kepoi_name,kepler_name,koi_disposition,adopted_Teff,adopted_Teff_err,adopted_Teff_provenance,Prot,Prot_err,Prot_provenance,li_eagles_LiEW,li_eagles_eLiEW,gyro_median,gyro_+1sigma,gyro_-1sigma,gyro_+2sigma,gyro_-2sigma,li_median,li_+1sigma,li_-1sigma,adopted_rp,adopted_rp_provenance,adopted_period,flag_gyro_quality,flag_planet_quality,has_hires,t_gyro,t_li,are_gyro_and_li_consistent
4820550,K03823.01,,CANDIDATE,5564,113,2020AJ....159..280B,14.39,0.14,2021ApJS..255...17S,27,3,1605,245,147,666,254,,,,5.57,2022AJ....163..179P,202.12,0,4,1,$1605^{+245}_{-147}$,$> 524$,Yes
8096395,K07587.01,,CANDIDATE,5461,117,2020AJ....159..280B,15.00,0.15,2021ApJS..255...17S,31,3,1638,184,125,497,225,,,,2.57,10.26133/NEA4,366.09,640,4,1,$1638^{+184}_{-125}$,$> 437$,Yes
8222627,K04098.01,,CANDIDATE,4772,102,2020AJ....159..280B,15.11,0.16,2021ApJS..255...17S,11,5,1650,104,92,225,177,,,,2.39,10.26133/NEA4,1.12,128,0,1,$1650^{+104}_{-92}$,$> 261$,Yes
8715589,K05563.01,,CANDIDATE,5325,162,2020AJ....159..280B,15.42,0.17,2021ApJS..255...17S,,,1671,156,114,440,208,,,,3.8,10.26133/NEA4,7.62,642,0,0,$1671^{+156}_{-114}$,--,--
11702948,K01465.01,,CANDIDATE,5737,106,2020AJ....159..280B,13.43,0.13,2021ApJS..255...17S,,,1686,442,251,1001,400,,,,12.71,2020AJ....160..108B,9.77,0,4,0,$1686^{+442}_{-251}$,--,--
8018547,K00902.01,,CANDIDATE,4551,85,2020AJ....159..280B,15.42,0.17,2019ApJS..244...21S,14,18,1702,122,106,269,205,,,,6.5,2022AJ....163..179P,83.92,0,0,1,$1702^{+122}_{-106}$,$> 172$,Yes
4263529,K03358.01,,CANDIDATE,5369,96,2020AJ....159..280B,15.74,0.19,2018MNRAS.474.2094A,3,12,1711,153,118,371,216,,,,3.12,2022AJ....163..179P,10.1,4096,4,1,$1711^{+153}_{-118}$,$> 663$,Yes
11462341,K02124.01,,CANDIDATE,4485,59,2020AJ....159..280B,15.64,0.18,2019ApJS..244...21S,-8,38,1736,132,114,294,218,,,,1.45,10.26133/NEA4,42.34,640,4,1,$1736^{+132}_{-114}$,$> 157$,Yes
10717241,K00430.02,,CANDIDATE,4267,78,2020AJ....159..280B,15.74,0.19,2019ApJS..244...21S,23,16,1784,197,158,468,302,,,,0.91,2022AJ....163..179P,9.34,0,0,1,$1784^{+197}_{-158}$,$> 116$,Yes
8074328,K02486.01,,CANDIDATE,6020,147,2020AJ....159..280B,nan,nan,,62,3,,,,,,1824,2459,1137,1.42,10.26133/NEA4,4.27,512,0,1,--,$1824^{+2459}_{-1137}$,No
4242147,K01934.01,,CANDIDATE,4704,90,2020AJ....159..280B,16.53,0.23,2019ApJS..244...21S,4,7,1824,118,102,260,193,,,,2.01,2022AJ....163..179P,28.78,0,0,1,$1824^{+118}_{-102}$,$> 264$,Yes
4249611,K02821.01,,CANDIDATE,5587,105,2020AJ....159..280B,15.53,0.18,2021ApJS..255...17S,,,1838,294,188,703,319,,,,3.35,2020AJ....160..108B,79.25,0,0,0,$1838^{+294}_{-188}$,--,--
